city,longitude,latitude,elevation
石家庄市,114.514976,38.042007,77.0
井陉县,114.145669,38.032366,259.0
正定县,114.57043,38.14699,73.0
行唐县,114.553044,38.437535,100.0
灵寿县,114.383013,38.307908,105.0
高邑县,114.611659,37.615905,49.0
深泽县,115.20089,38.184572,39.0
赞皇县,114.386114,37.666549,122.0
无极县,114.976256,38.178852,44.0
平山县,114.186007,38.260288,132.0
元氏县,114.525508,37.767332,66.0
赵县,114.775914,37.756935,43.0
辛集市,115.217626,37.943239,38.0
晋州市,115.044141,38.033937,46.0
新乐市,114.683745,38.343952,75.0
唐山市,118.180149,39.63068,34.0
滦南县,118.68363,39.520272,12.0
乐亭县,118.91245,39.425748,9.0
迁西县,118.31467,40.141486,133.0
玉田县,117.738196,39.901827,17.0
遵化市,117.965878,40.189119,54.0
迁安市,118.701021,39.998861,49.0
滦州市,118.70301,39.740963,45.0
秦皇岛市,119.52022,39.888243,11.0
青龙满族自治县,118.94985,40.407473,263.0
昌黎县,119.199846,39.699677,7.0
卢龙县,118.891931,39.892564,51.0
邯郸市,114.53915,36.625849,54.0
临漳县,114.585514,36.322504,67.0
成安县,114.670094,36.445331,58.0
大名县,115.147985,36.286406,47.0
涉县,113.692157,36.586073,520.0
磁县,114.373965,36.37507,71.0
邱县,115.200049,36.811783,38.0
鸡泽县,114.889951,36.911525,36.0
广平县,114.948638,36.48382,50.0
馆陶县,115.281818,36.548295,42.0
魏县,114.939217,36.35926,53.0
曲周县,114.957549,36.766347,42.0
武安市,114.203685,36.69759,208.0
邢台市,114.49742,37.060227,74.0
临城县,114.498651,37.444512,97.0
内丘县,114.512226,37.287612,78.0
柏乡县,114.693447,37.48288,37.0
隆尧县,114.770509,37.351232,35.0
宁晋县,114.940006,37.624524,33.0
巨鹿县,115.037884,37.221293,31.0
新河县,115.251005,37.520891,27.0
广宗县,115.142766,37.074795,33.0
平乡县,115.03008,37.063771,34.0
威县,115.266829,36.975164,36.0
清河县,115.665081,37.0451,32.0
临西县,115.501258,36.871312,35.0
南宫市,115.40866,37.358907,27.0
沙河市,114.503023,36.855548,63.0
保定市,115.464523,38.874476,23.0
涞水县,115.713651,39.394305,41.0
阜平县,114.195118,38.849221,292.0
定兴县,115.808183,39.263219,29.0
唐县,114.982968,38.748477,73.0
高阳县,115.779149,38.700846,10.0
容城县,115.861635,39.043321,15.0
涞源县,114.694416,39.360622,853.0
望都县,115.15542,38.696221,45.0
安新县,115.935688,38.936102,9.0
易县,115.497487,39.350219,58.0
曲阳县,114.740476,38.614409,88.0
蠡县,115.583701,38.488064,20.0
顺平县,115.135133,38.837988,50.0
博野县,115.464295,38.458048,24.0
雄县,116.108624,38.994825,11.0
保定白沟新城,115.988386,39.244498,19.0
涿州市,115.97444,39.485684,38.0
定州市,114.990321,38.516746,58.0
安国市,115.327088,38.418985,32.0
高碑店市,115.873612,39.327233,32.0
张家口市,114.885895,40.768931,721.0
张北县,114.719927,41.159039,1390.0
康保县,114.60018,41.853016,1422.0
沽源县,115.688544,41.670497,1409.0
尚义县,113.968763,41.076588,1367.0
蔚县,114.589136,39.840154,912.0
阳原县,114.150267,40.104303,930.0
怀安县,114.386488,40.67527,826.0
怀来县,115.517868,40.415625,565.0
涿鹿县,115.196835,40.382681,534.0
赤城县,115.831256,40.913348,910.0
承德市,117.962749,40.952942,374.0
承德县,118.174166,40.768082,300.0
兴隆县,117.500558,40.417358,607.0
滦平县,117.332652,40.941644,529.0
隆化县,117.739026,41.314402,580.0
丰宁满族自治县,116.645798,41.209951,668.0
宽城满族自治县,118.485472,40.611333,325.0
围场满族蒙古族自治县,117.75934,41.938372,886.0
平泉市,118.702032,41.018482,515.0
沧州市,116.838715,38.304676,11.0
沧县,117.007478,38.219856,7.0
青县,116.804137,38.583657,8.0
东光县,116.537138,37.888844,15.0
海兴县,117.497545,38.143308,6.0
盐山县,117.230681,38.058074,9.0
肃宁县,115.829619,38.423044,15.0
南皮县,116.708603,38.038761,11.0
吴桥县,116.391557,37.628225,20.0
献县,116.122767,38.189924,15.0
孟村回族自治县,117.104514,38.053438,11.0
泊头市,116.578322,38.084262,14.0
任丘市,116.084412,38.685325,8.0
黄骅市,117.330043,38.372266,5.0
河间市,116.099362,38.446656,12.0
廊坊市,116.683546,39.538304,18.0
固安县,116.298696,39.438797,26.0
永清县,116.50608,39.330983,15.0
香河县,117.006072,39.763772,15.0
大城县,116.653917,38.705232,6.0
文安县,116.457628,38.873185,7.0
大厂回族自治县,116.98961,39.886569,17.0
霸州市,116.391488,39.125238,10.0
三河市,117.078269,39.982933,19.0
衡水市,115.668987,37.739367,23.0
枣强县,115.724365,37.514217,26.0
武邑县,115.887498,37.802036,20.0
武强县,115.982119,38.041447,17.0
饶阳县,115.725898,38.235313,21.0
安平县,115.518918,38.234769,28.0
故城县,115.965877,37.347873,29.0
景县,116.270558,37.692831,17.0
阜城县,116.175424,37.862984,18.0
深州市,115.559576,38.001535,26.0
太原市,112.549656,37.870451,789.0
清徐县,112.359367,37.608751,765.0
阳曲县,112.67292,38.058511,886.0
娄烦县,111.79715,38.067569,1199.0
